Day,Order,Reading
154,1,2Sam 20:14-21:22
154,2,Acts 1:1-26
154,3,Ps 121:1-8
154,4,Prov 16:18
155,1,2Sam 22:1-23:23
155,2,Acts 2:1-47
155,3,Ps 122:1-9
155,4,Prov 16:19-20
156,1,2Sam 23:24-24:25
156,2,Acts 3:1-26
156,3,Ps 123:1-4
156,4,Prov 16:21-23
157,1,1Kgs 1:1-53
157,2,Acts 4:1-37
157,3,Ps 124:1-8
157,4,Prov 16:24
158,1,1Kgs 2:1-3:2
158,2,Acts 5:1-42
158,3,Ps 125:1-5
158,4,Prov 16:25
159,1,1Kgs 3:3-4:34
159,2,Acts 6:1-15
159,3,Ps 126:1-6
159,4,Prov 16:26-27
160,1,1Kgs 5:1-6:38
160,2,Acts 7:1-29
160,3,Ps 127:1-5
160,4,Prov 16:28-30
161,1,1Kgs 7:1-51
161,2,Acts 7:30-50
161,3,Ps 128:1-6
161,4,Prov 16:31-33
162,1,1Kgs 8:1-66
162,2,Acts 7:51-8:13
162,3,Ps 129:1-8
162,4,Prov 17:1
163,1,1Kgs 9:1-10:29
163,2,Acts 8:14-40
163,3,Ps 130:1-8
163,4,Prov 17:2-3
164,1,1Kgs 11:1-12:19
164,2,Acts 9:1-25
164,3,Ps 131:1-3
164,4,Prov 17:4-5
165,1,1Kgs 12:20-13:34
165,2,Acts 9:26-43
165,3,Ps 132:1-18
165,4,Prov 17:6
166,1,1Kgs 14:1-15:24
166,2,Acts 10:1-23
166,3,Ps 133:1-3
166,4,Prov 17:7-8
167,1,1Kgs 15:25-17:24
167,2,Acts 10:24-48
167,3,Ps 134:1-3
167,4,Prov 17:9-11
168,1,1Kgs 18:1-46
168,2,Acts 11:1-30
168,3,Ps 135:1-21
168,4,Prov 17:12-13
169,1,1Kgs 19:1-21
169,2,Acts 12:1-23
169,3,Ps 136:1-26
169,4,Prov 17:14-15
170,1,1Kgs 20:1-21:29
170,2,Acts 12:24-13:15
170,3,Ps 137:1-9
170,4,Prov 17:16
171,1,1Kgs 22:1-53
171,2,Acts 13:16-41
171,3,Ps 138:1-8
171,4,Prov 17:17-18
172,1,2Kgs 1:1-2:25
172,2,Acts 13:42-14:7
172,3,Ps 139:1-24
172,4,Prov 17:19-21
173,1,2Kgs 3:1-4:17
173,2,Acts 14:8-28
173,3,Ps 140:1-13
173,4,Prov 17:22
174,1,2Kgs 4:18-5:27
174,2,Acts 15:1-35
174,3,Ps 141:1-10
174,4,Prov 17:23
175,1,2Kgs 6:1-7:20
175,2,Acts 15:36-16:15
175,3,Ps 142:1-7
175,4,Prov 17:24-25
176,1,2Kgs 8:1-9:13
176,2,Acts 16:16-40
176,3,Ps 143:1-12
176,4,Prov 17:26
177,1,2Kgs 9:14-10:31
177,2,Acts 17:1-34
177,3,Ps 144:1-15
177,4,Prov 17:27-28
178,1,2Kgs 10:32-12:21
178,2,Acts 18:1-22
178,3,Ps 145:1-21
178,4,Prov 18:1
179,1,2Kgs 13:1-14:29
179,2,Acts 18:23-19:12
179,3,Ps 146:1-10
179,4,Prov 18:2-3
180,1,2Kgs 15:1-16:20
180,2,Acts 19:13-41
180,3,Ps 147:1-20
180,4,Prov 18:4-5
181,1,2Kgs 17:1-18:12
181,2,Acts 20:1-38
181,3,Ps 148:1-14
181,4,Prov 18:6-7
182,1,2Kgs 18:13-19:37
182,2,Acts 21:1-17
182,3,Ps 149:1-9
182,4,Prov 18:8
183,1,2Kgs 20:1-22:2
183,2,Acts 21:18-36
183,3,Ps 150:1-6
183,4,Prov 18:9-10
184,1,2Kgs 22:3-23:30
184,2,Acts 21:37-22:16
184,3,Ps 1:1-6
184,4,Prov 18:11-12
185,1,2Kgs 23:31-25:30
185,2,Acts 22:17-23:10
185,3,Ps 2:1-12
185,4,Prov 18:13
186,1,1Chr 1:1-2:17
186,2,Acts 23:11-35
186,3,Ps 3:1-8
186,4,Prov 18:14-15
187,1,1Chr 2:18-4:4
187,2,Acts 24:1-27
187,3,Ps 4:1-8
187,4,Prov 18:16-18
188,1,1Chr 4:5-5:17
188,2,Acts 25:1-27
188,3,Ps 5:1-12
188,4,Prov 18:19
189,1,1Chr 5:18-6:81
189,2,Acts 26:1-32
189,3,Ps 6:1-10
189,4,Prov 18:20-21
190,1,1Chr 7:1-8:40
190,2,Acts 27:1-20
190,3,Ps 7:1-17
190,4,Prov 18:22
191,1,1Chr 9:1-10:14
191,2,Acts 27:21-44
191,3,Ps 8:1-9
191,4,Prov 18:23-24
192,1,1Chr 11:1-12:18
192,2,Acts 28:1-31
192,3,Ps 9:1-12
192,4,Prov 19:1-3
193,1,1Chr 12:19-14:17
193,2,Rom 1:1-17
193,3,Ps 9:13-20
