Day,Order,Reading
172,2,1Cor 1:1-14:40
173,1,1Cor 15:1-16:24
173,2,2Cor 1:1-13:14
173,3,Gal 1:1-3:25
174,1,Gal 3:26-6:18
174,2,Eph 1:1-6:24
174,3,Phil 1:1-4:23
174,4,Col 1:1-4:18
175,1,1Thess 1:1-5:27
175,2,2Thess 1:1-3:18
175,3,1Tim 1:1-6:21
175,4,2Tim 1:1-4:22
175,5,Titus 1:1-3:15
175,6,Phm 1:1-25
176,1,Heb 1:1-13:25
176,2,Jas 1:1-3:12
177,1,Jas 3:13-5:20
177,2,1Pet 1:1-5:14
177,3,2Pet 1:1-3:18
177,4,1John 1:1-5:21
177,5,2John 1:1-13
177,6,3John 1:1-15
178,1,Jude 1:1-25
178,2,Rev 1:1-17:18
179,1,Rev 18:1-22:21
180,1,None
181,1,None
182,1,None
183,1,Gen 1:1-16:16
184,1,Gen 17:1-28:19
185,1,Gen 28:20-40:11
186,1,Gen 40:12-50:26
187,1,Exod 1:1-15:18
188,1,Exod 15:19-28:43
189,1,Exod 29:1-40:38
190,1,Lev 1:1-14:32
191,1,Lev 14:33-26:26
192,1,Lev 26:27-27:34
192,2,Num 1:1-8:14
193,1,Num 8:15-21:7
194,1,Num 21:8-32:19
195,1,Num 32:20-36:13
195,2,Deut 1:1-7:26
196,1,Deut 8:1-23:11
197,1,Deut 23:12-34:12
198,1,Josh 1:1-14:15
199,1,Josh 15:1-24:33
199,2,Judg 1:1-3:27
200,1,Judg 3:28-15:12
201,1,Judg 15:13-21:25
201,2,Ruth 1:1-4:22
201,3,1Sam 1:1-2:29
202,1,1Sam 2:30-15:35
203,1,1Sam 16:1-28:19
204,1,1Sam 28:20-31:13
204,2,2Sam 1:1-12:10
205,1,2Sam 12:11-22:18
206,1,2Sam 22:19-24:25
206,2,1Kgs 1:1-7:37
207,1,1Kgs 7:38-16:20
208,1,1Kgs 16:21-22:53
208,2,2Kgs 1:1-4:37
209,1,2Kgs 4:38-15:26
210,1,2Kgs 15:27-25:30
211,1,1Chr 1:1-9:44
212,1,1Chr 10:1-23:32
213,1,1Chr 24:1-29:30
213,2,2Chr 1:1-7:10
214,1,2Chr 7:11-23:15
215,1,2Chr 23:16-35:15
216,1,2Chr 35:16-36:23
216,2,Ezra 1:1-10:44
217,1,Neh 1:1-13:14
218,1,Neh 13:15-31
218,2,Esth 1:1-10:3
218,3,Job 1:1-7:21
219,1,Job 8:1-24:25
220,1,Job 25:1-41:34
221,1,Job 42:1-17
221,2,Ps 1:1-24:10
222,1,Ps 25:1-45:14
223,1,Ps 45:15-69:21
224,1,Ps 69:22-89:13
225,1,Ps 89:14-108:13
226,1,Ps 109:1-134:3
227,1,Ps 135:1-150:6
227,2,Prov 1:1-6:35
228,1,Prov 7:1-20:21
229,1,Prov 20:22-31:31
229,2,Eccl 1:1-2:26
230,1,Eccl 3:1-12:14
230,2,Song 1:1-8:14
231,1,Isa 1:1-13:22
232,1,Isa 14:1-28:29
233,1,Isa 29:1-41:18
234,1,Isa 41:19-52:12
235,1,Isa 52:13-66:18
236,1,Isa 66:19-24
236,2,Jer 1:1-10:13
237,1,Jer 10:14-23:8
238,1,Jer 23:9-33:22
239,1,Jer 33:23-47:7
240,1,Jer 48:1-52:34
240,2,Lam 1:1-22
241,1,Lam 2:1-5:22
241,2,Ezek 1:1-12:20
242,1,Ezek 12:21-23:39
243,1,Ezek 23:40-35:15
244,1,Ezek 36:1-47:12
245,1,Ezek 47:13-48:35
245,2,Dan 1:1-8:27
246,1,Dan 9:1-12:13
246,2,Hos 1:1-13:6
247,1,Hos 13:7-14:9
247,2,Joel 1:1-3:21
247,3,Amos 1:1-9:10
248,1,Amos 9:11-15
248,2,Obad 1:1-21
248,3,Jonah 1:1-4:11
248,4,Mic 1:1-7:20
248,5,Nah 1:1-3:19
249,1,Hab 1:1-3:19
249,2,Zeph 1:1-3:20
249,3,Hag 1:1-2:23
249,4,Zech 1:1-10:12
250,1,Zech 11:1-14:21
250,2,Mal 1:1-4:6
250,3,Matt 1:1-4:25
251,1,Matt 5:1-15:39
252,1,Matt 16:1-26:56
253,1,Matt 26:57-28:20
253,2,Mark 1:1-9:13
254,1,Mark 9:14-16:20
254,2,Luke 1:1-80
255,1,Luke 2:1-9:62
256,1,Luke 10:1-20:19
257,1,Luke 20:20-24:53
257,2,John 1:1-5:47
258,1,John 6:1-15:17
259,1,John 15:18-21:25
259,2,Acts 1:1-6:7
260,1,Acts 6:8-16:37
261,1,Acts 16:38-28:16
262,1,Acts 28:17-31
262,2,Rom 1:1-14:23
263,1,Rom 15:1-16:27
263,2,1Cor 1:1-14:40
264,1,1Cor 15:1-16:24
264,2,2Cor 1:1-13:14
264,3,Gal 1:1-3:25
265,1,Gal 3:26-6:18
265,2,Eph 1:1-6:24
265,3,Phil 1:1-4:23
265,4,Col 1:1-4:18
266,1,1Thess 1:1-5:27
266,2,2Thess 1:1-3:18
266,3,1Tim 1:1-6:21
266,4,2Tim 1:1-4:22
266,5,Titus 1:1-3:15
266,6,Phm 1:1-25
267,1,Heb 1:1-13:25
267,2,Jas 1:1-3:12
268,1,Jas 3:13-5:20
268,2,1Pet 1:1-5:14
268,3,2Pet 1:1-3:18
268,4,1John 1:1-5:21
268,5,2John 1:1-13
268,6,3John 1:1-15
269,1,Jude 1:1-25
269,2,Rev 1:1-17:18
270,1,Rev 18:1-22:21
271,1,None
272,1,None
273,1,None
274,1,Gen 1:1-16:16
275,1,Gen 17:1-28:19
276,1,Gen 28:20-40:11
277,1,Gen 40:12-50:26
278,1,Exod 1:1-15:18
279,1,Exod 15:19-28:43
280,1,Exod 29:1-40:38
281,1,Lev 1:1-14:32
282,1,Lev 14:33-26:26
283,1,Lev 26:27-27:34
283,2,Num 1:1-8:14
284,1,Num 8:15-21:7
285,1,Num 21:8-32:19
286,1,Num 32:20-36:13
286,2,Deut 1:1-7:26
287,1,Deut 8:1-23:11
288,1,Deut 23:12-34:12
289,1,Josh 1:1-14:15
290,1,Josh 15:1-24:33
290,2,Judg 1:1-3:27
291,1,Judg 3:28-15:12
