Day_Number,Reading,Title,URL,Duration_(ms)
108,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/4/17/daily-bible-reading-sunday-april-17,
109,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/4/18/daily-bible-reading-monday-april-18,
110,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/4/19/daily-bible-reading-tuesday-april-19,
111,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/4/20/daily-bible-reading-wednesday-april-20,
112,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/4/21/daily-bible-reading-thursday-april-21,
113,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/4/22/daily-bible-reading-friday-april-22,
114,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/4/23/daily-bible-reading-saturday-april-23,
115,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/4/24/daily-bible-reading-sunday-april-24,
116,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/4/25/daily-bible-reading-monday-april-25,
117,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/4/26/daily-bible-reading-tuesday-april-26,
118,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/4/27/daily-bible-reading-wednesday-april-27,
119,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/4/28/daily-bible-reading-thursday-april-28,
120,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/4/29/daily-bible-reading-friday-april-29,
121,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/4/30/daily-bible-reading-saturday-april-30,
122,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/1/daily-bible-reading-sunday-may-1,
123,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/2/daily-bible-reading-monday-may-2,
124,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/3/daily-bible-reading-tuesday-may-3,
125,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/4/daily-bible-reading-wednesday-may-4,
126,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/5/daily-bible-reading-thursday-may-5,
127,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/6/daily-bible-reading-friday-may-6,
128,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/7/daily-bible-reading-saturday-may-7,
129,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/8/daily-bible-reading-sunday-may-8,
130,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/9/daily-bible-reading-monday-may-9,
131,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/10/daily-bible-reading-tuesday-may-10,
132,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/11/daily-bible-reading-wednesday-may-11,
133,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/12/daily-bible-reading-thursday-may-12,
134,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/13/daily-bible-reading-friday-may-13,
135,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/14/daily-bible-reading-saturday-may-14,
136,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/15/daily-bible-reading-sunday-may-15,
137,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/16/daily-bible-reading-monday-may-16,
138,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/17/daily-bible-reading-tuesday-may-17,
139,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/18/daily-bible-reading-wednesday-may-18,
140,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/19/daily-bible-reading-thursday-may-19,
141,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/20/daily-bible-reading-friday-may-20,
142,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/21/daily-bible-reading-saturday-may-21,
143,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/22/daily-bible-reading-sunday-may-22,
144,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/23/daily-bible-reading-monday-may-23,
145,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/24/daily-bible-reading-tuesday-may-24,
146,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/25/daily-bible-reading-wednesday-may-25,
147,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/26/daily-bible-reading-thursday-may-26,
148,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/27/daily-bible-reading-friday-may-27,
149,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/28/daily-bible-reading-saturday-may-28,
150,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/29/daily-bible-reading-sunday-may-29,
151,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/30/daily-bible-reading-monday-may-30,
152,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/5/31/daily-bible-reading-tuesday-may-31,
153,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/1/daily-bible-reading-wednesday-june-1,
