TITLE,YOUTUBE LABEL,VIDEO_ID
Read Scripture: Hosea,"Read Scripture: Hosea by The Bible Project 2 years ago 7 minutes, 36 seconds 557,264 views",kE6SZ1ogOVU
Read Scripture: Joel,"Read Scripture: Joel by The Bible Project 2 years ago 6 minutes, 49 seconds 408,087 views",zQLazbgz90c
Read Scripture: Amos,"Read Scripture: Amos by The Bible Project 2 years ago 7 minutes, 13 seconds 444,525 views",mGgWaPGpGz4
Read Scripture: Obadiah,"Read Scripture: Obadiah by The Bible Project 2 years ago 4 minutes, 59 seconds 328,234 views",i4ogCrEoG5s
Read Scripture: Jonah,"Read Scripture: Jonah by The Bible Project 2 years ago 9 minutes, 1 second 558,559 views",dLIabZc0O4c
Read Scripture: Micah,"Read Scripture: Micah by The Bible Project 2 years ago 6 minutes, 39 seconds 383,088 views",MFEUEcylwLc
Read Scripture: Nahum,"Read Scripture: Nahum by The Bible Project 2 years ago 5 minutes, 7 seconds 297,668 views",Y30DanA5EhU
Read Scripture: Habakkuk,"Read Scripture: Habakkuk by The Bible Project 2 years ago 6 minutes, 49 seconds 355,895 views",OPMaRqGJPUU
Read Scripture: Zephaniah,"Read Scripture: Zephaniah by The Bible Project 2 years ago 5 minutes, 10 seconds 271,898 views",oFZknKPNvz8
Read Scripture: Job,"Read Scripture: Job by The Bible Project 3 years ago 11 minutes 906,289 views",xQwnH8th_fs
Read Scripture: Psalms,"Read Scripture: Psalms by The Bible Project 3 years ago 8 minutes, 59 seconds 846,885 views",j9phNEaPrv8
Read Scripture: Proverbs,"Read Scripture: Proverbs by The Bible Project 2 years ago 8 minutes, 8 seconds 621,814 views",AzmYV8GNAIM
Read Scripture: Ecclesiastes,"Read Scripture: Ecclesiastes by The Bible Project 2 years ago 8 minutes, 2 seconds 570,720 views",lrsQ1tc-2wk
Read Scripture: Song of Songs,"Read Scripture: Song of Songs by The Bible Project 2 years ago 6 minutes, 59 seconds 517,576 views",4KC7xE4fgOw
Read Scripture: Jeremiah,"Read Scripture: Jeremiah by The Bible Project 2 years ago 7 minutes, 15 seconds 518,782 views",RSK36cHbrk0
Read Scripture: Lamentations,"Read Scripture: Lamentations by The Bible Project 2 years ago 7 minutes, 17 seconds 318,673 views",p8GDFPdaQZQ
Read Scripture: Ezekiel 1-33,"Read Scripture: Ezekiel 1-33 by The Bible Project 2 years ago 7 minutes, 24 seconds 520,292 views",R-CIPu1nko8
Read Scripture: Ezekiel 34-48,"Read Scripture: Ezekiel 34-48 by The Bible Project 2 years ago 7 minutes, 13 seconds 356,608 views",SDeCWW_Bnyw
Read Scripture: Ezra-Nehemiah,"Read Scripture: Ezra-Nehemiah by The Bible Project 2 years ago 8 minutes, 37 seconds 632,644 views",MkETkRv9tG8
Read Scripture: Esther,"Read Scripture: Esther by The Bible Project 2 years ago 9 minutes, 14 seconds 708,086 views",JydNSlufRIs
Read Scripture: Daniel,"Read Scripture: Daniel by The Bible Project 2 years ago 8 minutes, 54 seconds 753,586 views",9cSC9uobtPM
Read Scripture: Haggai,"Read Scripture: Haggai by The Bible Project 2 years ago 5 minutes, 37 seconds 373,190 views",juPvv_xcX-U
Read Scripture: Zechariah,"Read Scripture: Zechariah by The Bible Project 2 years ago 8 minutes, 11 seconds 363,011 views",_106IfO6Kc0
Read Scripture: Malachi,"Read Scripture: Malachi by The Bible Project 2 years ago 7 minutes, 10 seconds 364,490 views",HPGShWZ4Jvk
Read Scripture: Chronicles,"Read Scripture: Chronicles by The Bible Project 2 years ago 6 minutes, 29 seconds 501,581 views",HR7xaHv3Ias
